timestamp,hours,water_level_cm,rise_rate_cm_per_s,soil_moisture_pct,humidity_pct,temp_c,risk_index,alert_tier,rain_active,dht_ok,ultra_valid
T+000.00h,0.0,4.86,-0.0005,15,45,27.9,4.4,SAFE,False,True,True
T+000.08h,0.083,4.87,0.0001,15,45,27.3,4.4,SAFE,False,True,True
T+000.17h,0.167,4.78,-0.0003,15,45,28.1,4.4,SAFE,False,True,True
T+000.25h,0.25,5.66,0.0029,15,45,28.1,4.4,SAFE,False,True,True
T+000.33h,0.333,5.25,-0.0014,15,45,28.7,4.4,SAFE,False,True,False
T+000.42h,0.417,5.53,0.001,15,45,27.3,4.4,SAFE,False,True,True
T+000.50h,0.5,5.87,0.0011,15,45,27.9,4.4,SAFE,False,True,True
T+000.58h,0.583,5.78,-0.0003,15,45,27.4,4.4,SAFE,False,True,True
T+000.67h,0.667,2.38,-0.0113,15,45,27.7,4.4,SAFE,False,True,True
T+000.75h,0.75,5.66,0.0109,15,45,27.4,4.4,SAFE,False,True,True
T+000.83h,0.833,4.91,-0.0025,15,45,27.9,4.4,SAFE,False,True,True
T+000.92h,0.917,5.64,0.0024,15,45,28.2,4.4,SAFE,False,True,True
T+001.00h,1.0,4.37,-0.0042,15,45,27.6,4.4,SAFE,False,True,True
T+001.08h,1.083,4.75,0.0013,15,45,29.2,4.4,SAFE,False,True,True
T+001.17h,1.167,5.77,0.0034,15,45,28.7,4.4,SAFE,False,True,True
T+001.25h,1.25,6.43,0.0022,15,45,28.0,4.4,SAFE,False,True,True
T+001.33h,1.333,5.95,-0.0016,15,45,27.3,4.4,SAFE,False,True,False
T+001.42h,1.417,4.68,-0.0042,15,45,28.4,4.4,SAFE,False,True,True
T+001.50h,1.5,5.62,0.0031,15,45,27.7,4.4,SAFE,False,True,True
T+001.58h,1.583,5.95,0.0011,15,45,27.7,4.4,SAFE,False,True,True
T+001.67h,1.667,4.28,-0.0056,15,45,27.9,4.4,SAFE,False,True,True
T+001.75h,1.75,4.43,0.0005,15,45,28.2,4.4,SAFE,False,True,True
T+001.83h,1.833,5.26,0.0028,15,45,28.1,4.4,SAFE,False,True,True
T+001.92h,1.917,5.27,0.0,15,45,27.5,4.4,SAFE,False,True,True
T+002.00h,2.0,6.23,0.0032,15,45,28.0,4.4,SAFE,False,True,True
T+002.08h,2.083,6.59,0.0012,15,45,28.1,4.4,SAFE,False,True,True
T+002.17h,2.167,4.85,-0.0058,15,45,28.7,4.4,SAFE,False,True,True
T+002.25h,2.25,2.62,-0.0074,15,45,28.4,4.4,SAFE,False,True,True
T+002.33h,2.333,4.37,0.0058,15,45,28.0,4.4,SAFE,False,True,True
T+002.42h,2.417,4.57,0.0007,15,45,28.7,4.4,SAFE,False,True,True
T+002.50h,2.5,5.1,0.0018,15,45,27.4,4.4,SAFE,False,True,True
T+002.58h,2.583,5.89,0.0026,15,45,28.0,4.4,SAFE,False,False,True
T+002.67h,2.667,6.37,0.0016,15,45,27.3,4.4,SAFE,False,True,True
T+002.75h,2.75,6.75,0.0013,15,45,27.2,4.4,SAFE,False,True,True
T+002.83h,2.833,6.53,-0.0007,15,45,28.4,4.4,SAFE,False,True,True
T+002.92h,2.917,3.75,-0.0093,15,45,28.1,4.4,SAFE,False,True,True
T+003.00h,3.0,4.39,0.0021,15,45,28.2,4.4,SAFE,False,True,True
T+003.08h,3.083,5.26,0.0029,15,45,28.4,4.4,SAFE,False,True,True
T+003.17h,3.167,3.88,-0.0046,15,45,28.2,4.4,SAFE,False,True,True
T+003.25h,3.25,4.3,0.0014,15,45,28.6,4.4,SAFE,False,True,True
T+003.33h,3.333,6.27,0.0066,15,45,28.3,4.4,SAFE,False,True,True
T+003.42h,3.417,5.24,-0.0034,15,45,27.9,4.4,SAFE,False,True,True
T+003.50h,3.5,5.12,-0.0004,15,45,28.3,4.4,SAFE,False,True,True
T+003.58h,3.583,3.27,-0.0062,15,45,28.1,4.4,SAFE,False,True,True
T+003.67h,3.667,5.87,0.0087,15,45,28.3,4.4,SAFE,False,True,True
T+003.75h,3.75,4.8,-0.0036,15,45,27.3,4.4,SAFE,False,True,True
